"Locatie";"Tagnaam";"Datum";"Tijd (Europe/Amsterdam)";"Waarde";"Valid flag"
"DYLP029A";"B1_mwf";"2016-08-24";"18:00:00";"1037,8";""
"DYLP029A";"B1_mwf";"2016-08-24";"21:00:00";"1021,68";""
"DYLP029A";"B1_mwf";"2016-08-25";"00:00:00";"1013,5";""
"DYLP029A";"B1_mwf";"2016-08-25";"01:00:00";"1013,2";""
"DYLP029A";"B1_mwf";"2016-08-25";"02:00:00";"1013,63";""
"DYLP029A";"B1_mwf";"2016-08-25";"03:00:00";"1014,3";""
"DYLP029A";"B1_mwf";"2016-08-25";"04:00:00";"1014,43";""
"DYLP029A";"B1_mwf";"2016-08-25";"05:00:00";"1014,83";""
"DYLP029A";"B1_mwf";"2016-08-25";"06:00:00";"1015,25";""
"DYLP029A";"B1_mwf";"2016-08-25";"07:00:00";"1016,15";""
"DYLP029A";"B1_mwf";"2016-08-25";"08:00:00";"1017,7";""
"DYLP029A";"B1_mwf";"2016-08-25";"09:00:00";"1023,1";""
"DYLP029A";"B1_mwf";"2016-08-25";"10:00:00";"1034,43";""
"DYLP029A";"B1_mwf";"2016-08-25";"11:00:00";"1047,97";""
"DYLP029A";"B1_mwf";"2016-08-25";"12:00:00";"1057,58";""
"DYLP029A";"B1_mwf";"2016-08-25";"15:00:00";"1074,4";""
"DYLP029A";"B1_mwf";"2016-08-25";"18:00:00";"1062,35";""
"DYLP029A";"B1_mwf";"2016-08-25";"21:00:00";"1034";""
"DYLP029A";"B1_mwf";"2016-08-26";"00:00:00";"1013,73";""
"DYLP029A";"B1_mwf";"2016-08-26";"03:00:00";"1009,3";""
"DYLP029A";"B1_mwf";"2016-08-26";"06:00:00";"1010,35";""
"DYLP029A";"B1_mwf";"2016-08-26";"08:00:00";"1012,18";""
"DYLP029A";"B1_mwf";"2016-08-26";"09:00:00";"1016,98";""
"DYLP029A";"B1_mwf";"2016-08-26";"10:00:00";"1027,58";""
"DYLP029A";"B1_mwf";"2016-08-26";"11:00:00";"1038,3";""
"DYLP029A";"B1_mwf";"2016-08-26";"12:00:00";"1047,5";""
"DYLP029A";"B1_mwf";"2016-08-26";"15:00:00";"1064,3";""
"DYLP029A";"B1_mwf";"2016-08-26";"18:00:00";"1065,2";""
"DYLP029A";"B1_mwf";"2016-08-26";"21:00:00";"1050,83";""
"DYLP029A";"B1_mwf";"2016-08-27";"00:00:00";"1031,35";""
"DYLP029A";"B1_mwf";"2016-08-27";"03:00:00";"1021,25";""
"DYLP029A";"B1_mwf";"2016-08-27";"06:00:00";"1014,43";""
"DYLP029A";"B1_mwf";"2016-08-27";"08:00:00";"1011,88";""
"DYLP029A";"B1_mwf";"2016-08-27";"09:00:00";"1016,68";""
"DYLP029A";"B1_mwf";"2016-08-27";"10:00:00";"1024,53";""
"DYLP029A";"B1_mwf";"2016-08-27";"11:00:00";"1033,3";""
"DYLP029A";"B1_mwf";"2016-08-27";"12:00:00";"1041,65";""
"DYLP029A";"B1_mwf";"2016-08-27";"13:00:00";"1049,7";""
"DYLP029A";"B1_mwf";"2016-08-27";"15:00:00";"1062,98";""
"DYLP029A";"B1_mwf";"2016-08-27";"18:00:00";"1068,8";""
"DYLP029A";"B1_mwf";"2016-08-27";"21:00:00";"1055,73";""
"DYLP029A";"B1_mwf";"2016-08-28";"00:00:00";"1036,75";""
"DYLP029A";"B1_mwf";"2016-08-28";"03:00:00";"1026,25";""
"DYLP029A";"B1_mwf";"2016-08-28";"06:00:00";"1016,48";""
"DYLP029A";"B1_mwf";"2016-08-28";"08:00:00";"1013,83";""
"DYLP029A";"B1_mwf";"2016-08-28";"09:00:00";"1020,3";""
"DYLP029A";"B1_mwf";"2016-08-28";"10:00:00";"1029,33";""
"DYLP029A";"B1_mwf";"2016-08-28";"11:00:00";"1037,38";""
"DYLP029A";"B1_mwf";"2016-08-28";"12:00:00";"1040,85";""
"DYLP029A";"B1_mwf";"2016-08-28";"15:00:00";"1049,4";""
"DYLP029A";"B1_mwf";"2016-08-28";"18:00:00";"1044,93";""
"DYLP029A";"B1_mwf";"2016-08-28";"21:00:00";"1030,55";""
"DYLP029A";"B1_mwf";"2016-08-29";"00:00:00";"1009,75";""
"DYLP029A";"B1_mwf";"2016-08-29";"03:00:00";"1005,98";""
"DYLP029A";"B1_mwf";"2016-08-29";"06:00:00";"1009,23";""
"DYLP029A";"B1_mwf";"2016-08-29";"08:00:00";"1011,38";""
"DYLP029A";"B1_mwf";"2016-08-29";"09:00:00";"1015,5";""
"DYLP029A";"B1_mwf";"2016-08-29";"10:00:00";"1018,7";""
"DYLP029A";"B1_mwf";"2016-08-29";"11:00:00";"1020,55";""
